Name,Category,Description,GitHub URL,Stars,Native/Plugin,Language
neovim,Text Editor,Vim-fork focused on extensibility and usability,https://github.com/neovim/neovim,85000+,Native,C/Lua
helix,Text Editor,A post-modern modal text editor,https://github.com/helix-editor/helix,35000+,Native,Rust
kakoune,Text Editor,Modal editor inspired by Vim,https://github.com/mawww/kakoune,10000+,Native,C++
amp,Text Editor,A complete text editor for your terminal,https://github.com/jmacdonald/amp,3700+,Native,Rust
vis,Text Editor,Vi-like editor based on Plan 9's structural regular expressions,https://github.com/martanne/vis,4400+,Native,C
micro,Text Editor,A modern and intuitive terminal-based text editor,https://github.com/zyedidia/micro,25000+,Native,Go
yazi,File Manager,Blazing fast terminal file manager in Rust,https://github.com/sxyazi/yazi,18000+,Native,Rust
ranger,File Manager,Console file manager with VI key bindings,https://github.com/ranger/ranger,16000+,Native,Python
lf,File Manager,Terminal file manager inspired by ranger,https://github.com/gokcehan/lf,7800+,Native,Go
vifm,File Manager,TUI file manager with vi keybindings,https://github.com/vifm/vifm,2600+,Native,C
nnn,File Manager,TUI file manager (tiny and fast),https://github.com/jarun/nnn,19000+,Native,C
superfile,File Manager,Pretty fancy terminal file manager,https://github.com/yorukot/superfile,8000+,Native,Go
xplr,File Manager,Hackable minimal fast TUI file explorer,https://github.com/sayanarijit/xplr,4300+,Native,Rust
broot,File Manager,Interactive file tree explorer,https://github.com/Canop/broot,11000+,Native,Rust
lazygit,Git Client,Simple terminal UI for git commands,https://github.com/jesseduffield/lazygit,55000+,Native,Go
tig,Git Client,Text-mode interface for git,https://github.com/jonas/tig,12500+,Native,C
gitui,Git Client,Blazing fast terminal-ui for git,https://github.com/gitui-org/gitui,18500+,Native,Rust
zathura,PDF Viewer,Document reader with vim keybindings,https://github.com/pwmt/zathura,2000+,Native,C
sioyek,PDF Viewer,PDF viewer with keyboard navigation,https://github.com/ahrm/sioyek,7500+,Native,C++
mupdf,PDF Viewer,PDF and ebook reader with vim keybindings,https://github.com/ArtifexSoftware/mupdf,3000+,Native,C
apvlv,PDF Viewer,PDF Viewer that acts like Vim,https://github.com/naihe2010/apvlv,500+,Native,C++
qutebrowser,Web Browser,Keyboard-driven vim-like browser,https://github.com/qutebrowser/qutebrowser,10000+,Native,Python
vimium,Browser Extension,Vim keybindings for Chrome,https://github.com/philc/vimium,23000+,Plugin,JavaScript
vimium-c,Browser Extension,Vim keybindings for browsers,https://github.com/nickyc975/vimium-c,2500+,Plugin,TypeScript
tridactyl,Browser Extension,Vim-like interface for Firefox,https://github.com/tridactyl/tridactyl,5500+,Plugin,TypeScript
surfingkeys,Browser Extension,Vim-like keybindings for browsers,https://github.com/nickyc975/nickyc975.github.io,5000+,Plugin,JavaScript
vimb,Web Browser,The vim like browser,https://github.com/fanglingsu/vimb,1400+,Native,C
nyxt,Web Browser,Keyboard-driven browser inspired by Vim/Emacs,https://github.com/atlas-engineer/nyxt,10000+,Native,Common Lisp
vieb,Web Browser,Vim bindings for the web by design,https://github.com/Jelmerro/Vieb,2000+,Native,JavaScript
cmus,Music Player,Console music player with vim keybindings,https://github.com/cmus/cmus,5600+,Native,C
ncmpcpp,Music Player,ncurses MPD client,https://github.com/ncmpcpp/ncmpcpp,2200+,Native,C++
spotify-tui,Music Player,Spotify TUI client,https://github.com/Rigellute/spotify-tui,17500+,Native,Rust
termusic,Music Player,Music Player TUI in Rust,https://github.com/tramhao/termusic,1100+,Native,Rust
kew,Music Player,Terminal music player for Linux,https://github.com/ravachol/kew,3500+,Native,C
visidata,Data Tool,TUI data exploration tool,https://github.com/saulpw/visidata,8500+,Native,Python
sc-im,Spreadsheet,Vim-like spreadsheet calculator,https://github.com/andmarti1424/sc-im,4500+,Native,C
harlequin,Database Client,SQL IDE for Your Terminal,https://github.com/tconbeer/harlequin,4000+,Native,Python
lazysql,Database Client,Cross-platform TUI database client,https://github.com/jorgerojas26/lazysql,1000+,Native,Go
rainfrog,Database Client,Database TUI for Postgres/MySQL/SQLite,https://github.com/achristmascarl/rainfrog,3000+,Native,Rust
neomutt,Email Client,Command line mail reader,https://github.com/neomutt/neomutt,3500+,Native,C
aerc,Email Client,Terminal email client,https://git.sr.ht/~rstratto/aerc,1000+,Native,Go
himalaya,Email Client,CLI email client,https://github.com/sostrunk/himalaya,3200+,Native,Rust
newsboat,RSS Reader,RSS/Atom feed reader for terminals,https://github.com/newsboat/newsboat,3000+,Native,C++
k9s,Kubernetes,TUI for managing Kubernetes,https://github.com/derailed/k9s,28000+,Native,Go
lazydocker,Docker,Lazier way to manage docker,https://github.com/jesseduffield/lazydocker,40000+,Native,Go
dive,Docker,Tool for exploring docker images,https://github.com/wagoodman/dive,48000+,Native,Go
ctop,Docker,Top-like interface for containers,https://github.com/bcicen/ctop,15500+,Native,Go
htop,System Monitor,Interactive process viewer,https://github.com/htop-dev/htop,6500+,Native,C
btop,System Monitor,Resource monitor,https://github.com/aristocratos/btop,22000+,Native,C++
bottom,System Monitor,Graphical process/system monitor,https://github.com/ClementTsang/bottom,10500+,Native,Rust
glances,System Monitor,Top/htop alternative,https://github.com/nicolargo/glances,27000+,Native,Python
zenith,System Monitor,Terminal graphical metrics,https://github.com/bvaisvil/zenith,2500+,Native,Rust
tmux,Terminal Multiplexer,Terminal multiplexer,https://github.com/tmux/tmux,36000+,Native,C
zellij,Terminal Multiplexer,Terminal workspace,https://github.com/zellij-org/zellij,22000+,Native,Rust
posting,API Client,HTTP client in terminal,https://github.com/darrenburns/posting,6000+,Native,Python
ATAC,API Client,Terminal API client,https://github.com/Julien-cpsn/ATAC,2500+,Native,Rust
fzf,Fuzzy Finder,Command-line fuzzy finder,https://github.com/junegunn/fzf,67000+,Native,Go
telescope.nvim,Fuzzy Finder,Neovim fuzzy finder,https://github.com/nvim-telescope/telescope.nvim,16000+,Plugin,Lua
glow,Markdown,Terminal markdown reader,https://github.com/charmbracelet/glow,17000+,Native,Go
mdp,Markdown,Command-line markdown presentation,https://github.com/visit1985/mdp,5000+,Native,C
presenterm,Presentation,Terminal-based presentations,https://github.com/mfontanini/presenterm,2500+,Native,Rust
slides,Presentation,Terminal presentation tool,https://github.com/maaslalani/slides,10000+,Native,Go
obsidian,Note Taking,Markdown knowledge base (with vim mode),https://obsidian.md,N/A,Native,JavaScript
logseq,Note Taking,Knowledge management (vim plugin),https://github.com/logseq/logseq,35000+,Plugin,Clojure
